#++
#
#   Frequency Database
#   ==================
#
#   Created: 29-Mar-2026 15:32:45
#
#   The column names are the database fields
#
#   When importing:
#       Rows starting with # are treated as comments
#       Missing fields are left empty
#       Invalid fields are ignored
#       First field must be Frequency
#       Frequency value is in kHz not Hz
#       Source is set to Custom
#       Added is set to the current date & time
#
#--
Frequency,Station,Site,Azi,Dist,Locator,RDS_PI,RDS_PS,CallID,Language,TX_Country,Time_On,Time_Off,Days,Target,Notes,Pwr,M,Org_Country,Lat,Lon,ITU,Polarity,Source,Date
"5920000","Voice of the Andes","","145","","","","","","Mul","D","0700","2200","1234567","18,27,28,37","","1","","WNM","","","","","HFCC","2026-03-29 15:32"
"5925000","China National Radio","","163","","","","","","Zho","CHN","1000","1705","1234567","44S","","100","","BEI","","","","","HFCC","2026-03-29 15:32"
"5925000","China National Radio","","163","","","","","","Zho","CHN","2055","2400","1234567","44S","","100","","BEI","","","","","HFCC","2026-03-29 15:32"
"5930000","Radio Russia","","157","","","","","","Rus","RUS","1500","2000","1234567","39,40","","100","","ARM","","","","","HFCC","2026-03-29 15:32"
"5930000","World Music Radio","","0","","","","","","Mul","DNK","0000","2359","1234567","17-19,27-29,37N","Danish","4","","BRG","","","","","HFCC","2026-03-29 15:32"
"5930000","World Music Radio","","0","","","","","","Mul","DNK","0000","2359","1234567","17-19,27-29,37N","Danish","4","","ISH","","","","","HFCC","2026-03-29 15:32"
"5935000","China National Radio","","85","","","","","","Zho","CHN","2000","1800","1234567","43SW","","100","","LHA","","","","","HFCC","2026-03-29 15:32"
"5935000","Japan International Communications","","290","","","","","","Mul","J","1300","1500","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"5935000","Japan International Communications","","290","","","","","","Mul","J","1500","1700","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"5935000","Media Broadcast GmbH","","233","","","","","","Mul","D","1300","1400","1234567","27E,28NW","X.307","100","","NAU","","","","","HFCC","2026-03-29 15:32"
"5935000","WNQM, Inc.","","85","","","","","","Eng","USA","0000","1200","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"5935000","WNQM, Inc.","","85","","","","","","Eng","USA","0000","1200","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"5935000","WNQM, Inc.","","85","","","","","","Eng","USA","0000","1200","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"5945000","China National Radio","","222","","","","","","Zho","CHN","1300","1805","1234567","43SE,44SW","","100","","BEI","","","","","HFCC","2026-03-29 15:32"
"5945000","China National Radio","","222","","","","","","Zho","CHN","2025","2300","1234567","43SE,44SW","","100","","BEI","","","","","HFCC","2026-03-29 15:32"
"5945000","Media Broadcast GmbH","","260","","","","","","Mul","D","0700","0745","1234567","27,28N","X.B1","100","","NAU","","","","","HFCC","2026-03-29 15:32"
"5945000","Radio New Zealand","","325","","","","","","Eng","NZL","0700","1300","1234567","51,56,64S,65S","NZL","50","","RAN","","","","","HFCC","2026-03-29 15:32"
"5945000","Radio New Zealand","","35","","","","","","Eng","NZL","0700","1300","6","61S,62,63W","NZL","50","","RAN","","","","","HFCC","2026-03-29 15:32"
"5945000","Radio Russia","","0","","","","","","Rus","RUS","0000","2400","1234567","31,32","","5","","IRK","","","","","HFCC","2026-03-29 15:32"
"5950000","Radio Miami International","","355","","","","","","Eng","USA","0000","0500","1234567","3,4,9","","100","","RMI","","","","","HFCC","2026-03-29 15:32"
"5955000","Abu Dhabi Media Company","","80","","","","","","Eng","UAE","2200","2300","1234567","49W","UAE","250","","DHA","","","","","HFCC","2026-03-29 15:32"
"5955000","China Radio International","","95","","","","","","Eng","CHN","1100","1300","1234567","44NE,45N","","150","","BEI","","","","","HFCC","2026-03-29 15:32"
"5955000","China Radio International","","95","","","","","","Eng","CHN","1300","1400","1234567","44NE,45N","","150","","BEI","","","","","HFCC","2026-03-29 15:32"
"5955000","China Radio International","","95","","","","","","Eng","CHN","1400","1500","1234567","44NE,45N","","150","","BEI","","","","","HFCC","2026-03-29 15:32"
"5955000","China Radio International","","95","","","","","","Eng","CHN","1500","1600","1234567","44NE,45N","","150","","BEI","","","","","HFCC","2026-03-29 15:32"
"5955000","H. Visser","","90","","","","","","Eng","HOL","0500","1800","1234567","18,27E,28NW","","1","","PTN","","","","","HFCC","2026-03-29 15:32"
"5955000","Japan International Communications","","290","","","","","","Mul","J","1555","1600","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"5955000","Japan International Communications","","290","","","","","","Mul","J","1600","1700","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"5955000","Japan International Communications","","290","","","","","","Mul","J","1700","1800","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"5955000","Japan International Communications","","290","","","","","","Mul","J","1800","1805","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"5960000","China National Radio","","0","","","","","","Zho","CHN","2330","1800","1234567","42N","","100","","URU","","","","","HFCC","2026-03-29 15:32"
"5960000","Media Broadcast GmbH","","300","","","","","","NldEng","D","0000","0200","1234567","2,3,4,6,7,8,9,10","X.namew","125","","NAU","","","","","HFCC","2026-03-29 15:32"
"5960000","Media Broadcast GmbH","","233","","","","","","Mul","D","1300","1400","1234567","27E,28NW","X.307","100","","NAU","","","","","HFCC","2026-03-29 15:32"
"5960000","Ministry of Information - State of Kuwait","","0","","","","","","Ara","KWT","0200","0900","1234567","39-40","","250","","KBD","","","","","HFCC","2026-03-29 15:32"
"5960000","TDF (France)","","333","","","","","","Eng","F","1900","1950","17","27","PAB","250","","ISS","","","","","HFCC","2026-03-29 15:32"
"5960000","TDF (France)","","333","","","","","","Eng","F","2000","2035","1","27","PAB","250","","ISS","","","","","HFCC","2026-03-29 15:32"
"5960000","Turkish Radio-TV Corp","","150","","","","","","Tur","TUR","1830","2100","1234567","38E,39,40W","","250","","EMR","","","","","HFCC","2026-03-29 15:32"
"5965000","China National Radio","","142","","","","","","Zho","CHN","1000","1805","1234567","44S,50","","100","","NNN","","","","","HFCC","2026-03-29 15:32"
"5965000","China Radio International","","73","","","","","","Kor","CHN","1400","1500","1234567","44NE,45N","","500","","XIA","","","","","HFCC","2026-03-29 15:32"
"5965000","China Radio International","","55","","","","","","Rus","CHN","1500","1600","1234567","33SE,34","","500","","BEI","","","","","HFCC","2026-03-29 15:32"
"5965000","Japan International Communications","","290","","","","","","Mul","J","1300","1400","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"5970000","BBC Worldservice","","35","","","","","","Prs","OMA","1400","1500","1234567","40E,41NW","DARIA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"5970000","BBC Worldservice","","35","","","","","","Pus","OMA","1500","1600","1234567","40E,41NW","PASHA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"5970000","BBC Worldservice","","63","","","","","","Prs","OMA","1600","1630","1234567","40E,41NW","DARIA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"5970000","BBC Worldservice","","63","","","","","","Prs","OMA","1630","1700","17","40E,41NW","DARIA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"5970000","BBC Worldservice","","63","","","","","","Pus","OMA","1630","1700","23456","40E,41NW","PASHA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"5970000","BBC Worldservice","","345","","","","","","Fas","OMA","1800","1830","1234567","40","FARSA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"5970000","BBC Worldservice","","345","","","","","","Fas","OMA","1830","1930","1234567","40","FARSA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"5970000","China National Radio","","0","","","","","","Zho","CHN","0355","0620","1234567","43NW","","50","","LAN","","","","","HFCC","2026-03-29 15:32"
"5970000","China National Radio","","0","","","","","","Zho","CHN","1025","1345","1234567","43NW","","50","","LAN","","","","","HFCC","2026-03-29 15:32"
"5970000","China National Radio","","0","","","","","","Zho","CHN","2255","0120","1234567","43NW","","50","","LAN","","","","","HFCC","2026-03-29 15:32"
