Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
5930000,AM,World Music Radio,00:00,23:59,Multiple languages,Ishoej,Denmark,1234567,,4,0,Denmark,HFCC
5930000,AM,Radio Russia,15:00,20:00,Russian,Armavir,Russia,1234567,,100,157,Russia,HFCC
5935000,AM,"WNQM, Inc.",00:00,12:00,English,"Nashville, TN",United States,1234567,,100,85,United States,HFCC
5935000,AM,"WNQM, Inc.",00:00,12:00,English,"Nashville, TN",United States,1234567,,100,85,United States,HFCC
5935000,AM,"WNQM, Inc.",00:00,12:00,English,"Nashville, TN",United States,1234567,,100,85,United States,HFCC
5935000,AM,Media Broadcast GmbH,13:00,14:00,Multiple languages,Nauen,Germany,1234567,,100,233,Germany,HFCC
5935000,AM,Japan International Communications,13:00,15:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5935000,AM,Japan International Communications,15:00,17:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5935000,AM,China National Radio,20:00,18:00,Chinese,Lhasa,China,1234567,,100,85,China,HFCC
5945000,AM,Radio Russia,00:00,24:00,Russian,Irkutsk,Russia,1234567,,5,0,Russia,HFCC
5945000,AM,Media Broadcast GmbH,07:00,07:45,Multiple languages,Nauen,Germany,1234567,,100,260,Germany,HFCC
5945000,AM,Radio New Zealand,07:00,13:00,English,Rangitaiki,New Zealand,1234567,,50,325,New Zealand,HFCC
5945000,AM,Radio New Zealand,07:00,13:00,English,Rangitaiki,New Zealand,6,,50,35,New Zealand,HFCC
5945000,AM,China National Radio,13:00,18:05,Chinese,Beijing,China,1234567,,100,222,China,HFCC
5945000,AM,China National Radio,20:25,23:00,Chinese,Beijing,China,1234567,,100,222,China,HFCC
5950000,AM,Radio Miami International,00:00,05:00,English,"Okeechobee, FL",United States,1234567,,100,355,United States,HFCC
5955000,AM,H. Visser,05:00,18:00,English,Putten,Netherlands,1234567,,1,90,Netherlands,HFCC
5955000,AM,China Radio International,11:00,13:00,English,Beijing,China,1234567,,150,95,China,HFCC
5955000,AM,China Radio International,13:00,14:00,English,Beijing,China,1234567,,150,95,China,HFCC
5955000,AM,China Radio International,14:00,15:00,English,Beijing,China,1234567,,150,95,China,HFCC
5955000,AM,China Radio International,15:00,16:00,English,Beijing,China,1234567,,150,95,China,HFCC
5955000,AM,Japan International Communications,15:55,16:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5955000,AM,Japan International Communications,16:00,17:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5955000,AM,Japan International Communications,17:00,18:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5955000,AM,Japan International Communications,18:00,18:05,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5955000,AM,Abu Dhabi Media Company,22:00,23:00,English,Dhabayya,United Arab Emirates,1234567,,250,80,United Arab Emirates,HFCC
5960000,AM,Media Broadcast GmbH,00:00,02:00,Dutch / English,Nauen,Germany,1234567,,125,300,Germany,HFCC
5960000,AM,Ministry of Information - State of Kuwait,02:00,09:00,Arabic,KABD,Kuwait,1234567,,250,0,Kuwait,HFCC
5960000,AM,Media Broadcast GmbH,13:00,14:00,Multiple languages,Nauen,Germany,1234567,,100,233,Germany,HFCC
